text,label
"Preciso de suporte para minha conta, não estou conseguindo acessar.",Produtivo
"Há um erro ao enviar relatórios; pode verificar por favor?",Produtivo
"Quando será lançada a nova versão do sistema?",Produtivo
"Solicito atualização sobre o ticket #12345.",Produtivo
"Favor analisar a cobrança indevida na fatura.",Produtivo
"Pode me orientar sobre como configurar o e-mail no Outlook?",Produtivo
"Há uma falha crítica no servidor — urgente.",Produtivo
"Preciso que a equipe avalie esse incidente o quanto antes.",Produtivo
"Poderia encaminhar os logs solicitados?",Produtivo
"Solicito alteração de acesso para o usuário João.",Produtivo
"Obrigado pelo suporte, excelente atendimento!",Improdutivo
"Agradeço a ajuda prestada, tudo certo agora.",Improdutivo
"Parabéns pelo lançamento, muito bom!",Improdutivo
"Feliz aniversário para toda a equipe!",Improdutivo
"Grato pela atenção, até breve.",Improdutivo
"Ótimo trabalho, continuem assim.",Improdutivo
"Obrigado!",Improdutivo
"Agradecemos a parceria e desejamos sucesso.",Improdutivo
"Muito obrigado pelo retorno tão rápido.",Improdutivo
"Apenas passando para agradecer pelo suporte.",Improdutivo
"Tenho uma dúvida sobre o procedimento — pode me ajudar?",Produtivo
"Preciso confirmar os prazos do projeto.",Produtivo
"Há divergência nos dados do relatório; revisar por favor.",Produtivo
"Vocês podem agendar uma reunião para discutirmos o caso?",Produtivo
"Favor reabrir o chamado, o problema persiste.",Produtivo
"Obrigado pelo convite, não poderei comparecer.",Improdutivo
"Boa sorte na nova etapa!",Improdutivo
"Agradeço a compreensão.",Improdutivo
"Poderiam validar se essa alteração impacta o processo?",Produtivo
"Recebi um e-mail de equipe externa com informações importantes.",Produtivo